Consórcio,Tipo,Grupo,Bem,Valor (R$),TX Adm (%),TX Ant. (%),F.R (%),Seguro (%),Prazo (M),Parcela (R$),Menor Lance Mês Anterior,Média Lance Últimos 6 Meses
Bradesco,Auto,10523,A855 - KWID ZEN 27%,21543.3,18,5.25,3,0.0598,58,465.02,37%,33.93%
Bradesco,Auto,10523,A857 - KWID ZEN 31%,24734.9,18,5.25,3,0.0598,58,533.91,37%,33.93%
Bradesco,Auto,10523,A860 - 35% MOBI LIKE 1.0,27646.5,18,5.25,3,0.0598,58,596.75,37%,33.93%
Bradesco,Auto,10523,A853 - 36% MOBI LIKE 1.0,28436.4,18,5.25,3,0.0598,58,613.83,37%,33.93%
Bradesco,Auto,10523,A856 - KWID ZEN 42%,33311.3,18,5.25,3,0.0598,58,723.38,37%,33.93%
Bradesco,Auto,10523,A845 - 44% MOBI LIKE 1.0,35315.6,18,5.25,3,0.0598,58,750.23,37%,33.93%
Bradesco,Auto,10523,A678 - KWID ZEN 44%,35107.6,18,5.25,3,0.0598,58,757.82,37%,33.93%
Bradesco,Auto,10523,A844 - 47% MOBI LIKE 1.0,37125.3,18,5.25,3,0.0598,58,801.37,37%,33.93%
Bradesco,Auto,10715,A841 - 75% MOBI LIKE 1.0,59242.5,20,5.25,3,0.0598,92,835.58,36.70%,44.68%
Bradesco,Auto,10715,A838 - 80% MOBI LIKE 1.0,63192.0,20,5.25,3,0.0598,92,891.31,36.70%,44.68%
Bradesco,Auto,10715,A673 - KWID ZEN 80%,63832.0,20,5.25,3,0.0598,92,900.33,36.70%,44.68%
Bradesco,Auto,10715,A674 - KWID ZEN 90%,71811.0,20,5.25,3,0.0598,92,1012.85,36.70%,44.68%
Bradesco,Auto,10715,A681 - KWID ZEN 95%,75800.0,20,5.25,3,0.0598,92,1069.11,36.70%,44.68%
Bradesco,Auto,10715,A816 - 70% - NV SAVEIRO ROBUST SC,76055.0,20,5.25,3,0.0598,92,1072.73,36.70%,44.68%
Bradesco,Auto,10715,A865 - STRADA ENDURANCE (70%),78393.0,20,5.25,3,0.0598,92,1105.71,36.70%,44.68%
Bradesco,Auto,10715,A640 - MOBI LIKE 1.0 FLEX 4P,78990.0,20,5.25,3,0.0598,92,1114.1,36.70%,44.68%
Bradesco,Auto,10715,A641 - KWID ZEN,79790.0,20,5.25,3,0.0598,92,1125.42,36.70%,44.68%
Bradesco,Auto,10872,A841 - 75% MOBI LIKE 1.0,59242.5,15,5.25,3,0.0562,45,1592.8,37%,48.78%
Bradesco,Auto,10872,A838 - 80% MOBI LIKE 1.0,63192.0,15,5.25,3,0.0562,45,1699.0,37%,48.78%
