Grupo;Assembleia;Data;% do Lance
001019;14;14/05/2025;35,66%
001019;14;14/05/2025;35,47%
001019;14;14/05/2025;31,15%
001019;13;14/04/2025;51,66%
001019;13;14/04/2025;46,00%
001019;13;14/04/2025;40,70%
001019;13;14/04/2025;35,88%
001019;13;14/04/2025;35,00%
001019;12;12/03/2025;37,20%
001019;12;12/03/2025;35,00%
001019;12;12/03/2025;32,15%
001019;11;12/02/2025;55,00%
001019;11;12/02/2025;48,00%
001019;11;12/02/2025;46,47%
001019;11;12/02/2025;45,50%
001019;11;12/02/2025;41,46%
001019;11;12/02/2025;26,17%
001019;10;14/01/2025;50,00%
001019;10;14/01/2025;50,00%
001019;10;14/01/2025;47,75%
001019;10;14/01/2025;43,00%
001019;10;14/01/2025;39,52%
001019;10;14/01/2025;35,00%
001019;9;12/12/2024;49,66%
001019;9;12/12/2024;46,50%
001019;9;12/12/2024;46,13%
001019;9;12/12/2024;44,21%
010746;17;14/05/2025;48,00%
010746;17;14/05/2025;43,58%
010746;17;14/05/2025;41,22%
010746;17;14/05/2025;39,85%
010746;17;14/05/2025;39,85%
010746;17;14/05/2025;39,52%
010746;17;14/05/2025;39,00%
010746;17;14/05/2025;38,12%
010746;17;14/05/2025;37,83%
010746;17;14/05/2025;37,14%
010746;17;14/05/2025;37,00%
010746;16;14/04/2025;41,95%
010746;16;14/04/2025;40,50%
010746;16;14/04/2025;40,33%
010746;16;14/04/2025;40,00%
010746;16;14/04/2025;40,00%
010746;16;14/04/2025;37,37%
010746;16;14/04/2025;37,00%
010746;16;14/04/2025;36,79%
010746;15;12/03/2025;52,00%
010746;15;12/03/2025;46,00%
010746;15;12/03/2025;37,51%
010746;15;12/03/2025;37,50%
010746;15;12/03/2025;32,90%
010746;15;12/03/2025;32,79%
010746;15;12/03/2025;31,64%
010746;15;12/03/2025;30,01%
010746;15;12/03/2025;30,00%
010746;15;12/03/2025;28,59%
010746;15;12/03/2025;27,96%
010746;14;12/02/2025;41,78%
010746;14;12/02/2025;41,00%
010746;14;12/02/2025;36,32%
010746;14;12/02/2025;35,00%
010746;14;12/02/2025;34,00%
010746;14;12/02/2025;30,95%
010746;14;12/02/2025;30,00%
010746;14;12/02/2025;29,21%
010746;13;14/01/2025;52,00%
010746;13;14/01/2025;43,50%
010746;13;14/01/2025;43,50%
010746;13;14/01/2025;42,85%
010746;13;14/01/2025;41,76%
010746;13;14/01/2025;40,00%
010746;13;14/01/2025;38,94%
010746;13;14/01/2025;36,95%
010746;13;14/01/2025;36,00%
010746;13;14/01/2025;33,99%
010746;12;12/12/2024;46,73%
010746;12;12/12/2024;44,50%
010746;12;12/12/2024;42,00%
010746;12;12/12/2024;39,10%
010746;12;12/12/2024;35,07%
010746;12;12/12/2024;30,00%
010746;11;12/12/2024;45,00%
010746;11;12/12/2024;43,00%
010746;11;12/12/2024;37,95%
010746;11;12/12/2024;36,05%
010746;11;12/12/2024;35,00%
010746;11;12/12/2024;35,00%
010746;11;12/12/2024;34,30%
010749;16;14/05/2025;41,17%
010749;16;14/05/2025;40,89%
010749;16;14/05/2025;40,00%
010749;16;14/05/2025;40,00%
010749;16;14/05/2025;39,52%
010749;16;14/05/2025;39,00%
010749;16;14/05/2025;38,00%
010749;16;14/05/2025;37,00%
010749;15;14/04/2025;40,12%
010749;15;14/04/2025;39,00%
010749;15;14/04/2025;37,89%
010749;15;14/04/2025;37,00%
010749;15;14/04/2025;36,00%
010749;15;14/04/2025;36,00%
010749;15;14/04/2025;35,60%
010749;14;12/03/2025;40,79%
010749;14;12/03/2025;38,67%
010749;14;12/03/2025;38,54%
010749;14;12/03/2025;38,18%
010749;14;12/03/2025;37,00%
010749;14;12/03/2025;37,00%
010749;14;12/03/2025;35,89%
010749;14;12/03/2025;33,79%
010749;14;12/03/2025;33,34%
010749;14;12/03/2025;33,00%
010749;14;12/03/2025;32,12%
010749;14;12/03/2025;32,00%
010749;14;12/03/2025;31,63%
010749;13;12/02/2025;44,38%
010749;13;12/02/2025;40,60%
010749;13;12/02/2025;39,20%
010749;13;12/02/2025;38,90%
010749;13;12/02/2025;35,50%
010749;13;12/02/2025;34,98%
010749;13;12/02/2025;34,47%
010749;13;12/02/2025;33,93%
010749;13;12/02/2025;33,10%
010749;13;12/02/2025;31,60%
010749;12;14/01/2025;45,10%
010749;12;14/01/2025;45,00%
010749;12;14/01/2025;35,30%
010749;12;14/01/2025;35,13%
010749;12;14/01/2025;35,00%
010749;12;14/01/2025;34,99%
010749;12;14/01/2025;26,23%
010749;12;14/01/2025;26,01%
010749;11;12/12/2024;45,00%
010749;11;12/12/2024;43,00%
010749;11;12/12/2024;37,95%
010749;11;12/12/2024;36,05%
010749;11;12/12/2024;35,00%
010749;11;12/12/2024;35,00%
010749;11;12/12/2024;34,30%
010502;32;14/05/2025;50,00%
010502;32;14/05/2025;47,41%
010502;32;14/05/2025;40,94%
010502;32;14/05/2025;38,70%
010502;32;14/05/2025;38,70%
010502;32;14/05/2025;38,33%
010502;32;14/05/2025;31,46%
010502;32;14/05/2025;31,46%
010502;32;14/05/2025;31,25%
010502;32;14/05/2025;30,77%
010502;31;14/04/2025;42,00%
010502;31;14/04/2025;41,94%
010502;31;14/04/2025;39,21%
010502;31;14/04/2025;37,86%
010502;31;14/04/2025;37,29%
010502;31;14/04/2025;36,71%
010502;31;14/04/2025;35,26%
010502;31;14/04/2025;35,10%
010502;31;14/04/2025;35,00%
010502;31;14/04/2025;33,92%
010502;31;14/04/2025;32,33%
010502;31;14/04/2025;31,65%
010502;31;14/04/2025;31,65%
010502;31;14/04/2025;31,31%
010502;31;14/04/2025;30,50%
010502;31;14/04/2025;30,00%
010502;30;12/03/2025;52,19%
010502;30;12/03/2025;40,00%
010502;30;12/03/2025;39,28%
010502;30;12/03/2025;39,00%
010502;30;12/03/2025;38,76%
010502;30;12/03/2025;36,52%
010502;30;12/03/2025;31,00%
010502;30;12/03/2025;30,00%
010502;30;12/03/2025;30,00%
010502;30;12/03/2025;25,40%
010536;30;12/03/2025;40,00%
010536;30;12/03/2025;39,80%
010536;30;12/03/2025;35,06%
010536;30;12/03/2025;32,72%
010536;30;12/03/2025;32,66%
010536;30;12/03/2025;26,00%
010536;30;12/03/2025;25,38%
010536;30;12/03/2025;25,00%
010536;30;12/03/2025;24,91%
010536;30;12/03/2025;23,75%
010536;30;12/03/2025;23,09%
010536;30;12/03/2025;21,89%
010536;28;12/02/2025;45,00%
010536;28;12/02/2025;43,00%
010536;28;12/02/2025;42,18%
010536;28;12/02/2025;36,15%
010536;28;12/02/2025;33,91%
010536;28;12/02/2025;33,68%
010536;28;12/02/2025;33,63%
010536;28;12/02/2025;32,13%
010536;28;12/02/2025;31,00%
010536;28;12/02/2025;31,00%
010536;27;12/03/2025;40,00%
010536;27;12/03/2025;39,13%
010536;27;12/03/2025;38,04%
010536;27;12/03/2025;36,94%
010536;27;12/03/2025;35,78%
010536;27;12/03/2025;34,35%
010536;27;12/03/2025;34,35%
010523;32;12/12/2024;50,21%
010523;32;12/12/2024;45,81%
010523;32;12/12/2024;44,67%
010523;32;12/12/2024;42,83%
010523;32;12/12/2024;41,66%
010523;32;12/12/2024;40,15%
010523;32;12/12/2024;40,00%
010523;32;12/12/2024;38,50%
010523;32;12/12/2024;38,50%
