Grupo,Bem,Valor (R$),Parcela (R$)
010746,A863 - KWID ZEN 58%,46278.2,646.14
010746,A671 - KWID ZEN 60%,47874.0,668.38
010746,A859 - 62% MOBI LIKE 1.0,48973.8,683.77
010746,A676 - KWID ZEN 62%,49469.8,690.68
010746,A839 - 65% MOBI LIKE 1.0,51343.5,716.84
010746,A680 - KWID ZEN 65%,51863.5,724.08
010746,A682 - KWID ZEN 68%,54257.2,757.53
010746,A840 - 70% MOBI LIKE 1.0,55293.0,771.99
010746,A672 - KWID ZEN 70%,55853.0,779.77
010746,A841 - 75% MOBI LIKE 1.0,59242.5,827.15
010746,A867 - POLO HIGHLINE TSI 45%,59242.5,827.15
010746,A838 - 80% MOBI LIKE 1.0,63192.0,882.24
010746,A673 - KWID ZEN 80%,63832.0,891.21
010746,A674 - KWID ZEN 90%,71811.0,1002.6
010746,A681 - KWID ZEN 95%,75800.5,1058.28
010746,A816 - 70% - NV SAVEIRO ROBUST SC 104,76055.0,1061.83
010746,A865 - STRADA ENDURANCE (70%),78393.0,1094.46
010746,A640 - MOBI LIKE 1.0 FLEX 4P,78990.0,1102.83
010746,A641 - KWID ZEN.,79790.0,1113.99
001019,I044 - CARTA DE CREDITO 44,118296.97,1314.71
001019,I046 - CARTA DE CREDITO 46,129051.24,1434.22
001019,I048 - CARTA DE CREDITO 48,139805.51,1553.76
001019,I050 - CARTA DE CREDITO 50,150559.78,1673.28
