Grupo,Produto,Tipo,Prazo original,Meses restantes,TX Adm (%),TX Ant. (%),F.R (%),Seguro (%),Redutor Parcela,Lance Embutido,Lance Fixo,Lance Mínimo,Lance Máximo,Média Lance Últimos 6 Meses,Lances Contemplados Último Mês,Vagas Disponíveis
I0425,Imóvel,Em andamento,240,238,23.0,2.0,2.0,0.038,25.0,30.0,40.0,1.0,99.68,,0,1
I0424,Imóvel,Em andamento,240,238,23.0,2.0,2.0,0.038,25.0,30.0,40.0,1.0,99.68,,0,6
I0421,Imóvel,Em andamento,240,238,23.0,2.0,2.0,0.038,25.0,30.0,40.0,1.0,99.68,,0,2
I0420,Imóvel,Em andamento,240,238,17.5,2.0,2.0,0.038,25.0,30.0,40.0,1.0,99.68,,0,27
I0414,Imóvel,Em andamento,200,196,19.0,0.5,2.0,0.038,35.0,30.0,40.0,0.5,99.01,58.01,4,11
I0412,Imóvel,Em andamento,200,198,19.0,2.0,2.0,0.038,0.0,30.0,0.0,1.0,99.62,,0,268
I0411,Imóvel,Em andamento,200,195,19.0,0.5,2.0,0.038,35.0,30.0,40.0,0.99,99.24,61.27,2,9
I0408,Imóvel,Em andamento,200,191,19.0,0.5,2.0,0.038,35.0,30.0,40.0,0.99,98.79,62.26,1,14
I0407,Imóvel,Em andamento,200,191,19.0,0.5,2.0,0.038,35.0,30.0,40.0,0.99,98.58,68.08,1,55
I0402,Imóvel,Em andamento,200,191,21.0,2.0,2.0,0.038,25.0,30.0,40.0,0.98,98.42,63.14,3,18
I0401,Imóvel,Em andamento,200,191,21.0,2.0,2.0,0.038,25.0,30.0,40.0,0.98,98.42,63.9,2,33
I0400,Imóvel,Em andamento,200,191,23.0,0.5,2.0,0.038,35.0,30.0,40.0,0.98,98.46,57.0,1,3
I0399,Imóvel,Em andamento,200,191,23.0,0.5,2.0,0.038,35.0,30.0,40.0,0.98,98.46,69.05,4,26
I0398,Imóvel,Em andamento,200,191,23.0,0.5,2.0,0.038,35.0,30.0,40.0,0.98,98.46,61.02,1,5
I0397,Imóvel,Em andamento,200,191,23.0,0.5,2.0,0.038,35.0,30.0,40.0,0.98,98.46,55.76,1,1
I0396,Imóvel,Em andamento,200,191,19.0,2.0,2.0,0.038,25.0,30.0,40.0,0.98,98.38,63.04,1,16
I0395,Imóvel,Em andamento,200,191,19.0,0.5,2.0,0.038,35.0,30.0,40.0,0.99,98.79,61.7,0,3
I0394,Imóvel,Em andamento,200,190,19.0,0.5,2.0,0.038,35.0,30.0,40.0,0.98,98.18,63.74,2,12
I0393,Imóvel,Em andamento,200,190,19.0,0.5,2.0,0.038,35.0,30.0,40.0,0.98,98.18,66.02,4,48
I0392,Imóvel,Em andamento,200,190,19.0,0.5,2.0,0.038,35.0,30.0,40.0,0.98,98.18,65.7,2,115
I0391,Imóvel,Em andamento,200,190,19.0,0.5,2.0,0.038,35.0,30.0,40.0,0.98,98.18,64.36,2,120
I0390,Imóvel,Em andamento,200,191,21.0,2.0,2.0,0.038,25.0,30.0,40.0,0.98,98.42,62.5,1,113
I0389,Imóvel,Em andamento,200,191,21.0,2.0,2.0,0.038,25.0,30.0,40.0,0.99,99.21,66.1,1,129
I0388,Imóvel,Em andamento,200,190,21.0,2.0,2.0,0.038,25.0,30.0,40.0,0.98,98.22,58.89,2,114
I0386,Imóvel,Em andamento,200,191,23.0,0.5,2.0,0.038,35.0,30.0,40.0,0.98,98.46,57.67,4,4
I0385,Imóvel,Em andamento,200,190,23.0,0.5,2.0,0.038,35.0,30.0,40.0,0.98,98.27,69.02,1,152
I0384,Imóvel,Em andamento,200,190,19.0,0.5,2.0,0.038,35.0,30.0,40.0,0.49,98.98,63.92,1,92
I0383,Imóvel,Em andamento,200,190,23.0,0.5,2.0,0.038,35.0,30.0,40.0,0.98,98.27,63.5,1,111
I0382,Imóvel,Em andamento,200,190,23.0,0.5,2.0,0.038,35.0,30.0,40.0,0.98,98.27,64.46,1,173
I0381,Imóvel,Em andamento,200,190,19.0,0.5,2.0,0.038,35.0,30.0,40.0,0.98,98.18,55.47,2,34
I0380,Imóvel,Em andamento,200,190,19.0,0.5,2.0,0.038,35.0,30.0,40.0,0.98,98.18,65.0,1,101
I0379,Imóvel,Em andamento,200,191,17.5,0.5,2.0,0.038,35.0,30.0,0.0,0.99,98.56,65.9,1,119
I0378,Imóvel,Em andamento,200,192,17.5,0.5,2.0,0.038,35.0,30.0,0.0,0.49,98.56,64.19,2,88
I0377,Imóvel,Em andamento,200,190,19.0,0.5,2.0,0.038,35.0,30.0,40.0,0.98,98.18,65.94,1,108
