nome,produto,instituicao_display_name,prazo_original,meses_restantes,tipo_grupo,vagas_totais,vagas_disponiveis,data_vencimento,data_assembleia,participa_assembleia,taxa_administracao_total,taxa_administracao_antecipada,fundo_reserva,seguro_vida,redutor,lance_embutido,lance_fixo,media_lance,lance_minimo,lance_maximo,lances_contemplados
AF095,Automóvel,Porto,50,14,Em Andamento,1,1,15/08/2025,21/08/2025,35,18.00,0,0.50,0.038,20.00,25.00,0,16.17,0.65,65.24,6
AF086,Automóvel,Porto,50,14,Em Andamento,3,3,15/08/2025,21/08/2025,35,18.00,0,0.50,0.038,20.00,25.00,0,21.18,0.67,67.30,6
AF085,Automóvel,Porto,50,14,Em Andamento,3,3,15/08/2025,21/08/2025,35,18.00,0,0.50,0.038,20.00,25.00,0,19.78,0.65,65.24,5
AF080,Automóvel,Porto,50,13,Em Andamento,5,5,15/08/2025,21/08/2025,36,18.00,0,0.50,0.038,20.00,25.00,0,20.88,0.53,53.24,1
AF079,Automóvel,Porto,50,11,Em Andamento,3,3,15/08/2025,21/08/2025,38,18.00,0,0.50,0.038,20.00,25.00,0,21.09,0.45,44.56,1
AF068,Automóvel,Porto,56,16,Em Andamento,2,2,15/08/2025,21/08/2025,39,18.00,0,0.50,0.038,20.00,25.00,0,20.71,0.49,49.39,5
AF058,Automóvel,Porto,50,10,Em Andamento,222,222,15/08/2025,21/08/2025,39,18.00,0,0.50,0.038,20.00,15.00,0,6.30,0.45,44.56,0
AF057,Automóvel,Porto,50,9,Em Andamento,8,8,15/08/2025,21/08/2025,40,18.00,0,0.50,0.038,20.00,15.00,0,12.33,0.42,41.56,2
AF056,Automóvel,Porto,50,8,Em Andamento,10,10,15/08/2025,21/08/2025,41,18.00,0,0.50,0.038,20.00,15.00,0,18.13,0.40,40.06,1
AF055,Automóvel,Porto,50,7,Em Andamento,11,11,15/08/2025,21/08/2025,42,18.00,0,0.50,0.038,20.00,15.00,0,11.26,0.34,34.45,0
AF054,Automóvel,Porto,50,6,Em Andamento,5,5,15/08/2025,21/08/2025,43,18.00,0,0.50,0.038,20.00,15.00,0,14.89,0.36,35.59,0
AF053,Automóvel,Porto,50,6,Em Andamento,3,3,15/08/2025,21/08/2025,43,18.00,0,0.50,0.038,20.00,15.00,0,14.71,0.36,35.62,2
AF052,Automóvel,Porto,50,4,Em Andamento,8,8,15/08/2025,21/08/2025,45,18.00,0,0.50,0.038,20.00,15.00,0,18.36,0.46,46.30,0
AF366,Automóvel,Porto,90,86,Em Andamento,6,6,15/08/2025,21/08/2025,3,15.00,0,2.00,0.038,20.00,15.00,40.00,57.16,0.99,98.63,4
AF361,Automóvel,Porto,50,46,Em Andamento,157,157,15/08/2025,21/08/2025,3,18.00,0,2.00,0.038,20.00,15.00,0,52.18,0.95,95.03,16
AF357,Automóvel,Porto,90,84,Em Andamento,3,3,15/08/2025,21/08/2025,5,18.00,0,2.00,0.038,25.00,15.00,0,56.88,0.96,95.90,7
AF353,Automóvel,Porto,90,83,Em Andamento,9,9,15/08/2025,21/08/2025,6,18.00,0,2.00,0.038,20.00,15.00,0,51.91,0.96,96.09,6
AF348,Automóvel,Porto,90,83,Em Andamento,7,7,15/08/2025,21/08/2025,6,18.00,0,2.00,0.038,20.00,15.00,0,53.00,0.97,96.78,6
AF346,Automóvel,Porto,90,82,Em Andamento,43,43,15/08/2025,21/08/2025,7,18.00,0,2.00,0.038,20.00,15.00,0,52.56,0.95,95.44,13
AF344,Automóvel,Porto,90,82,Em Andamento,111,111,15/08/2025,21/08/2025,7,18.00,0,2.00,0.038,20.00,15.00,0,52.44,0.95,95.44,10
AF343,Automóvel,Porto,62,54,Em Andamento,108,108,15/08/2025,21/08/2025,7,18.00,0,2.00,0.038,20.00,15.00,0,50.21,0.95,95.20,13
AF342,Automóvel,Porto,90,82,Em Andamento,168,168,15/08/2025,21/08/2025,7,18.00,0,2.00,0.038,20.00,15.00,0,52.76,0.95,95.43,4
AF340,Automóvel,Porto,90,82,Em Andamento,145,145,15/08/2025,21/08/2025,7,18.00,0,2.00,0.038,20.00,15.00,0,52.83,0.95,94.76,6
AF338,Automóvel,Porto,90,82,Em Andamento,126,126,15/08/2025,21/08/2025,7,18.00,0,2.00,0.038,20.00,15.00,0,52.30,0.95,95.43,6
AF335,Automóvel,Porto,90,82,Em Andamento,114,114,15/08/2025,21/08/2025,7,18.00,0,2.00,0.038,20.00,15.00,0,53.20,0.95,95.43,8
AF334,Automóvel,Porto,62,54,Em Andamento,17,17,15/08/2025,21/08/2025,7,18.00,0,2.00,0.038,20.00,15.00,0,48.52,0.93,93.13,12
AF328,Automóvel,Porto,72,60,Em Andamento,1,1,15/08/2025,21/08/2025,11,18.00,0,2.00,0.038,20.00,30.00,0,54.60,0.94,93.81,12
AF327,Automóvel,Porto,72,60,Em Andamento,2,2,15/08/2025,21/08/2025,11,18.00,0,2.00,0.038,20.00,30.00,0,53.79,0.94,93.80,10
AF326,Automóvel,Porto,72,60,Em Andamento,38,38,15/08/2025,21/08/2025,11,18.00,0,2.00,0.038,20.00,30.00,0,54.59,0.94,93.80,4
AF324,Automóvel,Porto,80,68,Em Andamento,30,30,15/08/2025,21/08/2025,11,16.00,0,2.00,0.038,20.00,30.00,0,60.06,0.94,93.86,7
AF323,Automóvel,Porto,80,68,Em Andamento,78,78,15/08/2025,21/08/2025,11,16.00,0,2.00,0.038,20.00,30.00,0,59.51,0.94,93.86,9
AF322,Automóvel,Porto,80,68,Em Andamento,50,50,15/08/2025,21/08/2025,11,16.00,0,2.00,0.038,20.00,30.00,0,58.61,0.94,94.42,6
AF321,Automóvel,Porto,80,68,Em Andamento,41,41,15/08/2025,21/08/2025,11,16.00,0,2.00,0.038,20.00,30.00,0,62.31,0.94,93.86,1
AF320,Automóvel,Porto,72,60,Em Andamento,77,77,15/08/2025,21/08/2025,11,18.00,0,2.00,0.038,20.00,30.00,0,53.13,0.94,93.81,11
AF319,Automóvel,Porto,72,60,Em Andamento,61,61,15/08/2025,21/08/2025,11,18.00,0,2.00,0.038,20.00,30.00,0,53.58,0.93,93.19,9
AF318,Automóvel,Porto,72,60,Em Andamento,66,66,15/08/2025,21/08/2025,11,18.00,0,2.00,0.038,20.00,30.00,0,55.67,0.94,94.44,9
AF317,Automóvel,Porto,72,60,Em Andamento,109,109,15/08/2025,21/08/2025,11,18.00,0,2.00,0.038,20.00,30.00,0,54.21,0.94,93.81,9
